Date,Open,High,Low,Close,Adj Close,Volume
6/1/15,14,14.2,13.79,14.13,13.753537,673800
6/2/15,14.06,14.21,14,14.15,13.773004,652300
6/3/15,14.15,14.37,14.07,14.28,13.899541,632500
6/4/15,14.19,14.35,14.14,14.23,13.850873,662000
6/5/15,14.1,14.38,13.96,14.29,13.909275,863400
6/8/15,14.28,14.35,14.05,14.15,13.773004,991900
6/9/15,14.13,14.16,13.86,13.9,13.529665,618900
6/10/15,14,14.22,13.95,14.08,13.704868,534900
6/11/15,14.05,14.05,13.92,13.97,13.5978,516700
6/12/15,14.01,14.05,13.82,13.98,13.607533,381000
6/15/15,13.85,13.99,13.67,13.93,13.558866,578100
6/16/15,13.86,14.28,13.84,14.27,13.889809,638200
6/17/15,14.32,14.4,14.16,14.19,13.811939,574800
6/18/15,14.26,14.39,14.2,14.3,13.919006,556500
6/19/15,14.34,14.4,14.23,14.28,13.899541,774000
6/22/15,14.32,14.47,14.3,14.42,14.03581,339000
6/23/15,14.41,14.51,14.33,14.46,14.074746,296700
6/24/15,14.44,14.48,14.09,14.19,13.811939,545100
6/25/15,14.26,14.34,14.16,14.24,13.860605,451900
6/26/15,14.28,14.49,14.17,14.35,13.967676,1643500
6/29/15,14.21,14.3,13.54,13.58,13.218192,955900
6/30/15,13.7,13.76,13.56,13.65,13.286325,748100
7/1/15,13.8,13.93,13.69,13.75,13.383662,604500
7/2/15,13.81,13.91,13.52,13.66,13.296061,482600
7/6/15,13.51,13.66,13.09,13.16,12.80938,1079200
7/7/15,13.17,13.18,12.8,13.1,12.75098,610300
7/8/15,12.95,13.08,12.89,13,12.653643,662700
7/9/15,13.18,13.22,12.97,13.02,12.67311,740800
7/10/15,13.23,13.36,13.21,13.25,12.896982,480500
7/13/15,13.26,13.52,13.26,13.44,13.121531,351200
7/14/15,13.45,13.5,13.38,13.45,13.131298,324500
7/15/15,13.44,13.52,13.34,13.35,13.033666,420500
7/16/15,13.44,13.55,13.31,13.36,13.043429,524000
7/17/15,13.33,13.37,13.15,13.21,12.896982,675000
7/20/15,13.21,13.42,13.14,13.35,13.033666,601000
7/21/15,13.36,13.49,13.17,13.21,12.896982,609400
7/22/15,13.23,13.45,13.21,13.3,12.984849,355700
7/23/15,13.34,13.45,13.23,13.28,12.965325,549700
7/24/15,13.24,13.35,13.17,13.27,12.955562,604000
7/27/15,13.17,13.26,13.04,13.17,12.857931,547500
7/28/15,13.22,13.25,12.99,13.16,12.848167,511100
7/29/15,13.13,13.33,13.07,13.25,12.936034,345000
7/30/15,13.16,13.26,13,13.2,12.88722,634000
7/31/15,13.23,13.29,13.15,13.22,12.906746,668100
8/3/15,13.23,13.23,12.96,13.1,12.789589,501700
8/4/15,13.1,13.3,13.09,13.18,12.867693,433300
8/5/15,13.25,13.43,13.09,13.19,12.877457,943200
8/6/15,13.13,13.38,12.37,12.8,12.496698,1175500
8/7/15,12.75,13.21,12.75,13.19,12.877457,838200
8/10/15,13.29,13.43,13.21,13.26,12.945799,668400
8/11/15,13.08,13.21,12.97,13.02,12.711485,447100
8/12/15,12.87,12.98,12.72,12.87,12.565039,709500
8/13/15,12.89,13,12.67,12.88,12.574803,504800
8/14/15,12.84,13,12.77,12.92,12.613854,438400
8/17/15,12.9,13.11,12.81,13.11,12.799353,569000
8/18/15,13.09,13.11,12.93,12.95,12.643145,381500
8/19/15,12.8,12.83,12.63,12.65,12.350252,705500
8/20/15,12.5,12.57,12.22,12.24,11.949966,706200
8/21/15,12,12.56,11.82,12.26,11.969493,1155100
8/24/15,11.58,11.8,11.56,11.69,11.413001,1383700
8/25/15,12.07,12.07,11.69,11.71,11.432527,866300
8/26/15,11.98,12,11.64,11.93,11.647314,760300
8/27/15,11.98,12.16,11.86,12.01,11.725417,1140700
8/28/15,11.99,12.45,11.99,12.33,12.037836,1013700
8/31/15,12.31,12.36,12.15,12.16,11.871863,943300
9/1/15,11.95,12.06,11.78,11.82,11.53992,954900
9/2/15,11.96,12.03,11.7,11.89,11.60826,736600
9/3/15,11.9,12.08,11.81,11.98,11.696128,779000
9/4/15,11.91,12.03,11.87,11.89,11.60826,733900
9/8/15,12.2,12.29,11.98,12.18,11.891388,938400
9/9/15,12.26,12.34,12,12.02,11.735181,594500
9/10/15,12,12.08,11.85,11.89,11.60826,608900
9/11/15,11.83,12.01,11.8,11.88,11.598498,618900
9/14/15,11.89,11.9,11.75,11.78,11.500868,448600
9/15/15,11.82,12.02,11.79,12.01,11.725417,620100
9/16/15,12.04,12.22,12.03,12.15,11.862101,411300
9/17/15,12.19,12.34,12.05,12.08,11.793757,788700
9/18/15,11.99,12.38,11.94,11.99,11.705892,1634100
9/21/15,12.06,12.2,12.01,12.02,11.735181,705000
9/22/15,11.91,11.94,11.69,11.75,11.471579,578000
9/23/15,11.78,11.84,11.66,11.7,11.422762,390600
9/24/15,11.6,11.69,11.48,11.62,11.34466,781500
9/25/15,11.74,11.81,11.61,11.65,11.373948,722400
9/28/15,11.65,11.74,11.5,11.56,11.286081,688700
9/29/15,11.57,11.67,11.49,11.6,11.325133,673900
9/30/15,11.73,11.96,11.73,11.81,11.530157,1429300
10/1/15,11.87,11.91,11.61,11.8,11.520393,971000
10/2/15,11.7,12.08,11.66,12.06,11.774235,988900
10/5/15,12.16,12.45,12.16,12.39,12.136667,900800
10/6/15,12.4,12.58,12.37,12.38,12.126872,953600
10/7/15,12.44,12.71,12.44,12.59,12.332577,1271800
10/8/15,12.61,12.88,12.52,12.76,12.499102,1635600
10/9/15,12.8,12.97,12.71,12.88,12.616648,1335300
10/12/15,12.87,13.06,12.84,12.84,12.577467,766500
10/13/15,12.79,13.04,12.51,12.52,12.264009,5741100
10/14/15,12.53,12.82,12.48,12.58,12.322782,1087500
10/15/15,12.65,12.9,12.61,12.89,12.626445,1257400
10/16/15,12.93,12.95,12.73,12.82,12.557876,739000
10/19/15,12.79,13,12.77,12.91,12.646034,946600
10/20/15,12.89,13.05,12.65,13.01,12.743991,672000
10/21/15,13.03,13.07,12.64,12.64,12.381557,607600
10/22/15,12.69,12.97,12.66,12.87,12.606853,607300
10/23/15,12.96,13.09,12.87,13.03,12.763582,660800
10/26/15,13,13.04,12.9,12.97,12.704808,394100
10/27/15,12.9,12.93,12.66,12.72,12.45992,640100
10/28/15,12.75,13.05,12.74,13.05,12.783174,1113700
10/29/15,13.86,14.1,12.99,13.25,12.979082,1341200
10/30/15,13.28,13.4,13.13,13.28,13.00847,1211600
11/2/15,13.28,13.93,13.28,13.86,13.576612,1312600
11/3/15,13.86,13.94,13.55,13.8,13.517838,1159600
11/4/15,13.83,13.83,13.49,13.65,13.370906,780700
11/5/15,13.65,13.73,13.51,13.68,13.400292,444200
11/6/15,13.62,13.68,13.38,13.63,13.351314,846200
11/9/15,13.63,13.63,13.41,13.49,13.214177,596300
11/10/15,13.43,13.59,13.37,13.58,13.302336,524300
11/11/15,13.61,13.73,13.59,13.59,13.312133,286000
11/12/15,13.49,13.5,13.19,13.19,12.92031,657700
11/13/15,13.16,13.54,13.12,13.33,13.057448,700900
11/16/15,13.29,13.56,13.2,13.5,13.223973,709400
11/17/15,13.51,13.82,13.42,13.64,13.361108,704800
11/18/15,13.65,13.95,13.64,13.94,13.654974,674600
11/19/15,13.9,14,13.8,13.93,13.64518,993300
11/20/15,14.02,14.06,13.87,13.92,13.635386,677400
11/23/15,13.89,14.05,13.83,14.04,13.752931,526700
11/24/15,13.94,14.2,13.9,14.15,13.860681,565000
11/25/15,14.14,14.26,14.03,14.25,13.958635,336500
11/27/15,14.21,14.21,13.89,14.12,13.831294,377000
11/30/15,14.18,14.2,14.02,14.08,13.792112,767700
12/1/15,14.11,14.27,14.07,14.22,13.92925,711400
12/2/15,14.24,14.27,13.99,14.02,13.73334,411800
12/3/15,14.02,14.08,13.55,13.63,13.351314,1100400
12/4/15,13.65,13.92,13.65,13.85,13.566816,597100
12/7/15,13.81,13.82,13.64,13.73,13.449268,399500
12/8/15,13.6,13.79,13.53,13.65,13.370906,600300
12/9/15,13.59,13.78,13.44,13.47,13.194586,619300
12/10/15,13.48,13.56,13.32,13.41,13.135812,560600
12/11/15,13.19,13.39,13.17,13.24,12.969288,612000
12/14/15,13.23,13.39,13.09,13.14,12.871334,552000
12/15/15,13.25,13.46,13.24,13.41,13.135812,596500
12/16/15,13.51,13.68,13.45,13.63,13.351314,564000
12/17/15,13.66,13.71,13.38,13.38,13.106426,420600
12/18/15,13.29,13.53,13.25,13.4,13.126015,1803400
12/21/15,13.5,13.59,13.27,13.4,13.126015,704400
12/22/15,13.45,13.81,13.34,13.69,13.410087,586700
12/23/15,13.75,13.84,13.69,13.77,13.488452,480100
12/24/15,13.8,13.87,13.72,13.73,13.449268,266700
12/28/15,13.7,13.78,13.47,13.68,13.400292,403600
12/29/15,13.75,13.79,13.57,13.74,13.459064,587400
12/30/15,13.74,13.8,13.6,13.6,13.321927,324800
12/31/15,13.52,13.62,13.38,13.42,13.145608,557200
1/4/16,13.25,13.27,12.94,13.01,12.743991,822800
1/5/16,13.01,13.21,12.96,13.11,12.841947,681800
1/6/16,12.86,13.09,12.85,13,12.734195,902900
1/7/16,12.74,13.08,12.65,12.93,12.665626,910700
1/8/16,13.02,13.13,12.74,12.76,12.499102,711500
1/11/16,12.86,12.86,12.51,12.65,12.430318,507500
1/12/16,12.74,12.84,12.48,12.65,12.430318,583200
1/13/16,12.65,12.77,12.24,12.28,12.066742,695000
1/14/16,12.3,12.91,12.24,12.8,12.577713,779100
1/15/16,12.45,12.68,12.36,12.59,12.371361,713100
1/19/16,12.73,12.81,12.36,12.48,12.263269,527900
